[PLAYERS]
ID|真实姓名|ISO2|位置|状态|inDB|日期|来源URL
nobody|Wang Senxu (王森旭)|CN|initiator|active|yes|2026-08-20|https://www.vlr.gg/team/1120/edward-gaming
ZmjjKK|Zheng Yongkang (郑永康)|CN|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/1120/edward-gaming
CHICHOO|Wan Shunzhi (万顺治)|CN|sentinel|active|yes|2026-08-20|https://www.vlr.gg/team/1120/edward-gaming
Smoggy|Zhang Zhao (张钊)|CN|flex|active|yes|2026-08-20|https://www.vlr.gg/team/1120/edward-gaming
Jieni7|Gao Yibo (高亦博)|CN|flex|active|yes|2026-08-20|https://www.vlr.gg/team/1120/edward-gaming
zjc|Zhou Jiacheng (周嘉城)|CN|initiator|sub|yes|2026-08-20|https://www.vlr.gg/team/1120/edward-gaming
Knight|Liu Yuxiang (刘宇翔)|CN|controller|active|no|2026-08-20|https://www.vlr.gg/team/12010/bilibili-gaming
whzy|Wang Haozhe (王昊哲)|CN|duelist|active|no|2026-08-20|https://www.vlr.gg/team/12010/bilibili-gaming
nephh|Marcus Tan|SG|initiator|active|no|2026-08-20|https://www.vlr.gg/team/12010/bilibili-gaming
rushia|Wang Xiaojie (王晓杰)|CN|sentinel|active|no|2026-08-20|https://www.vlr.gg/team/12010/bilibili-gaming
bud|Yang Renyu (杨韧余)|CN|flex|active|no|2026-08-20|https://www.vlr.gg/team/12010/bilibili-gaming
FT|Yan Shuaibo (闫帅博)|CN|flex|sub|no|2026-08-20|https://www.vlr.gg/team/12010/bilibili-gaming
yilai|Gu Yiming (顾依铭)|CN|flex|inactive|no|2026-08-20|https://www.vlr.gg/team/12010/bilibili-gaming
Levius|Lu Yinzhong (卢胤中)|CN|flex|inactive|no|2026-08-20|https://www.vlr.gg/team/12010/bilibili-gaming
SiuFatBB|Pong Gaa Hei (庞加曦)|HK|sentinel|active|no|2026-08-20|https://www.vlr.gg/team/731/tyloo
splash|Moses Christophe Jonathan|ID|duelist|active|no|2026-08-20|https://www.vlr.gg/team/731/tyloo
Scales|Zhang Zhen (张震)|CN|controller|active|no|2026-08-20|https://www.vlr.gg/team/731/tyloo
Erv|Shen Zhiwei (沈志伟)|CN|initiator|active|no|2026-08-20|https://www.vlr.gg/team/731/tyloo
slowly|Sun Kulun (孙科伦)|CN|sentinel|active|no|2026-08-20|https://www.vlr.gg/team/731/tyloo
xihe|Peng Wenbo (彭文博)|CN|flex|sub|no|2026-08-20|https://www.vlr.gg/team/731/tyloo
WsLeo|Huang Pinwei (黄品维)|CN|controller|active|no|2026-08-20|https://www.vlr.gg/team/13581/xi-lai-gaming
Lysoar|Liang Youhao (梁优好)|CN|sentinel|active|no|2026-08-20|https://www.vlr.gg/team/13581/xi-lai-gaming
NoMan|James Man|HK|initiator|active|no|2026-08-20|https://www.vlr.gg/team/13581/xi-lai-gaming
Rarga|Arthur Churyumov|RU|duelist|active|no|2026-08-20|https://www.vlr.gg/team/13581/xi-lai-gaming
happywei|Deng Minwei (邓闵维)|CN|flex|active|no|2026-08-20|https://www.vlr.gg/team/13581/xi-lai-gaming
Sharks|Qiu Ge (邱戈)|CN|flex|sub|no|2026-08-20|https://www.vlr.gg/team/13581/xi-lai-gaming
qiutiaN|Bijan Moeinzadeh (慕英毕强)|TW|initiator|active|no|2026-08-20|https://www.vlr.gg/team/12064/nova-esports
cb|Wang Qingchuan (王庆川)|CN|flex|active|no|2026-08-20|https://www.vlr.gg/team/12064/nova-esports
Ezeir|Zhao Zejun (赵泽骏)|CN|duelist|active|no|2026-08-20|https://www.vlr.gg/team/12064/nova-esports
GuanG|Guang Honglin (光洪霖)|CN|controller|active|no|2026-08-20|https://www.vlr.gg/team/12064/nova-esports
swagzor|Mikhail Vaniushin|RU|duelist|active|no|2026-08-20|https://www.vlr.gg/team/12064/nova-esports
kodeth|Bo Li|CN|flex|sub|no|2026-08-20|https://www.vlr.gg/team/12064/nova-esports
GREEN|Qiu Jianzhi (邱建智)|CN|flex|sub|no|2026-08-20|https://www.vlr.gg/team/12064/nova-esports
AAAAY|Wang Xinqiao (王新桥)|CN|initiator|active|yes|2026-08-20|https://www.vlr.gg/team/11328/funplus-phoenix
KovaQ|Kong Xiangxuan (孔祥轩)|CH|initiator|active|yes|2026-08-20|https://www.vlr.gg/team/11328/funplus-phoenix
coconut|Poon Ka Hei (潘嘉希)|HK|flex|active|yes|2026-08-20|https://www.vlr.gg/team/11328/funplus-phoenix
Xlele|Xu Yelei (徐烨磊)|CN|initiator|active|yes|2026-08-20|https://www.vlr.gg/team/11328/funplus-phoenix
Setrod|Chen Jiayi (陈嘉意)|TW|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/11328/funplus-phoenix
jkuro|Chen Junru (陈俊儒)|CN|flex|active|yes|2026-08-20|https://www.vlr.gg/team/13576/jd-gaming
zhe|Zhang Zheyu (张哲瑜)|TW|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/13576/jd-gaming
Yuicaw|Wei Yuqian (魏裕虔)|TW|duelist|active|yes|2026-08-20|https://www.vlr.gg/team/13576/jd-gaming
crownfisher|Chen Guanhong (陈冠宏)|TW|flex|active|yes|2026-08-20|https://www.vlr.gg/team/13576/jd-gaming
