"canonical_name","aliases","country_code","country_group","region","primary_role","current_or_last_team","roster_status","is_active_roster","is_coach","is_featured_team","is_vct_cn_team","champions_titles","masters_titles","league_titles","data_as_of","source_url","source_checked_at","review_status"
"TenZ","tenz|Tyson Ngo","CA","north_america","americas","duelist","Sentinels","retired","false","false","true","false","0","3","0","2026-08-23","https://www.vlr.gg/player/9/tenz/","2026-08-23T00:00:00.000Z","approved"
"Chronicle","Timofey Khromov|chronicle","RU","eastern_europe","emea","flex","Team Vitality","active","true","false","true","false","0","3","0","2026-08-23","https://www.vlr.gg/team/2059/team-vitality","2026-08-23T00:00:00.000Z","approved"
"aspas","Erick Santos|Aspas","BR","south_america","americas","duelist","MIBR","active","true","false","true","false","1","0","0","2026-08-23","https://www.vlr.gg/team/7386/mibr","2026-08-23T00:00:00.000Z","approved"
"Demon1","Max Mazanov|demon1","US","north_america","americas","duelist","ENVY","active","true","false","true","false","1","0","0","2026-08-23","https://www.vlr.gg/team/427/envy","2026-08-23T00:00:00.000Z","approved"
"ZmjjKK","Zheng Yongkang (郑永康)|KangKang|Zheng Yongkang","CN","east_asia","china","duelist","EDward Gaming","active","true","false","true","true","1","0","2","2026-08-23","https://www.vlr.gg/team/1120/edward-gaming","2026-08-23T00:00:00.000Z","approved"
"nobody","Wang Senxu (王森旭)|Wang Senxu|王森旭","CN","east_asia","china","initiator","EDward Gaming","active","true","false","true","true","1","0","2","2026-08-23","https://www.vlr.gg/team/1120/edward-gaming","2026-08-23T00:00:00.000Z","approved"
"CHICHOO","Wan Shunzhi (万顺治)|chichoo|Wan Shunzhi|万顺治","CN","east_asia","china","sentinel","EDward Gaming","active","true","false","true","true","1","0","2","2026-08-23","https://www.vlr.gg/team/1120/edward-gaming","2026-08-23T00:00:00.000Z","approved"
"Smoggy","Zhang Zhao (张钊)|Zhang Zhao|张钊","CN","east_asia","china","flex","EDward Gaming","active","true","false","true","true","1","0","2","2026-08-23","https://www.vlr.gg/team/1120/edward-gaming","2026-08-23T00:00:00.000Z","approved"
"Jieni7","Zhang Juntai (张君泰)|Zhang Juntai|张君泰","CN","east_asia","china","flex","EDward Gaming","active","true","false","true","true","0","0","0","2026-08-23","https://www.vlr.gg/team/1120/edward-gaming","2026-08-23T00:00:00.000Z","approved"
"zjc","Zhang Juncheng (张峻程)|Zhang Juncheng|张峻程","CN","east_asia","china","initiator","EDward Gaming","benched","true","false","true","true","0","0","0","2026-08-20","https://www.vlr.gg/team/1120/edward-gaming","2026-08-20T12:00:00.000Z","approved"
